order_id,customer_id,region,channel,customer_segment
ORD-10000,CUST-1000,Lagos,Mobile App,New Customer
ORD-10001,CUST-1001,Lagos,Web,Loyal
ORD-10002,CUST-1002,Kano,Web,Returning
ORD-10003,CUST-1003,Lagos,Mobile App,New Customer
ORD-10004,CUST-1004,Kano,Web,VIP
ORD-10005,CUST-1005,Lagos,Web,Loyal
ORD-10006,CUST-1006,Ibadan,Mobile App,Returning
ORD-10007,CUST-1007,Abuja,Agent Network,Loyal
ORD-10008,CUST-1008,Ibadan,Mobile App,Returning
ORD-10009,CUST-1009,Port Harcourt,Web,Loyal
ORD-10010,CUST-1010,Lagos,Mobile App,Loyal
ORD-10011,CUST-1011,Lagos,Mobile App,Returning
ORD-10012,CUST-1012,Ibadan,Agent Network,VIP
ORD-10013,CUST-1013,Kano,Mobile App,Returning
ORD-10014,CUST-1014,Lagos,Web,Loyal
ORD-10015,CUST-1015,Ibadan,WhatsApp Commerce,Returning
ORD-10016,CUST-1016,Lagos,WhatsApp Commerce,Returning
ORD-10017,CUST-1017,Enugu,Mobile App,VIP
ORD-10018,CUST-1018,Kano,Web,New Customer
ORD-10019,CUST-1019,Enugu,Mobile App,Loyal
ORD-10020,CUST-1020,Abuja,Mobile App,Returning
ORD-10021,CUST-1021,Port Harcourt,Mobile App,Returning
ORD-10022,CUST-1022,Port Harcourt,Mobile App,Returning
ORD-10023,CUST-1023,Lagos,Mobile App,New Customer
ORD-10024,CUST-1024,Lagos,Mobile App,Loyal
ORD-10025,CUST-1025,Lagos,WhatsApp Commerce,New Customer
ORD-10026,CUST-1026,Enugu,Mobile App,New Customer
ORD-10027,CUST-1027,Lagos,Agent Network,Loyal
ORD-10028,CUST-1028,Port Harcourt,WhatsApp Commerce,Returning
ORD-10029,CUST-1029,Lagos,Mobile App,Returning
ORD-10030,CUST-1030,Lagos,Agent Network,Loyal
ORD-10031,CUST-1031,Lagos,Web,Returning
ORD-10032,CUST-1032,Abuja,Mobile App,VIP
ORD-10033,CUST-1033,Abuja,Mobile App,Returning
ORD-10034,CUST-1034,Kano,Web,Loyal
ORD-10035,CUST-1035,Port Harcourt,Web,Loyal
ORD-10036,CUST-1036,Ibadan,Web,New Customer
ORD-10037,CUST-1037,Abuja,Mobile App,Loyal
ORD-10038,CUST-1038,Port Harcourt,Web,Returning
ORD-10039,CUST-1039,Lagos,Mobile App,Returning
ORD-10040,CUST-1040,Lagos,Mobile App,Returning
ORD-10041,CUST-1041,Enugu,Mobile App,Returning
ORD-10042,CUST-1042,Enugu,Mobile App,New Customer
ORD-10043,CUST-1043,Lagos,Mobile App,New Customer
ORD-10044,CUST-1044,Port Harcourt,Web,VIP
ORD-10045,CUST-1045,Lagos,Mobile App,Returning
ORD-10046,CUST-1046,Kano,Web,Returning
ORD-10047,CUST-1047,Abuja,Mobile App,New Customer
ORD-10048,CUST-1048,Lagos,Mobile App,Loyal
ORD-10049,CUST-1049,Kano,Mobile App,Loyal
ORD-10050,CUST-1050,Enugu,Web,New Customer
ORD-10051,CUST-1051,Kano,Mobile App,New Customer
ORD-10052,CUST-1052,Lagos,Agent Network,Loyal
ORD-10053,CUST-1053,Lagos,WhatsApp Commerce,Loyal
ORD-10054,CUST-1054,Lagos,Web,Loyal
ORD-10055,CUST-1055,Lagos,WhatsApp Commerce,Loyal
ORD-10056,CUST-1056,Kano,WhatsApp Commerce,New Customer
ORD-10057,CUST-1057,Port Harcourt,WhatsApp Commerce,New Customer
ORD-10058,CUST-1058,Abuja,Mobile App,Returning
ORD-10059,CUST-1059,Lagos,Web,Returning
ORD-10060,CUST-1060,Port Harcourt,Web,VIP
ORD-10061,CUST-1061,Lagos,Mobile App,Loyal
ORD-10062,CUST-1062,Lagos,WhatsApp Commerce,Returning
ORD-10063,CUST-1063,Ibadan,WhatsApp Commerce,Loyal
ORD-10064,CUST-1064,Abuja,Mobile App,Loyal
ORD-10065,CUST-1065,Lagos,Web,Returning
ORD-10066,CUST-1066,Abuja,Web,Returning
ORD-10067,CUST-1067,Abuja,Web,New Customer
ORD-10068,CUST-1068,Ibadan,Web,Returning
ORD-10069,CUST-1069,Lagos,Web,Loyal
ORD-10070,CUST-1070,Port Harcourt,Web,Returning
ORD-10071,CUST-1071,Abuja,Web,New Customer
ORD-10072,CUST-1072,Port Harcourt,Mobile App,Returning
ORD-10073,CUST-1073,Abuja,Agent Network,New Customer
ORD-10074,CUST-1074,Kano,Mobile App,New Customer
ORD-10075,CUST-1075,Abuja,Mobile App,New Customer
ORD-10076,CUST-1076,Lagos,Mobile App,New Customer
ORD-10077,CUST-1077,Ibadan,Mobile App,Returning
ORD-10078,CUST-1078,Ibadan,Mobile App,Loyal
ORD-10079,CUST-1079,Ibadan,Mobile App,Loyal
ORD-10080,CUST-1080,Abuja,Web,Loyal
ORD-10081,CUST-1081,Kano,Web,New Customer
ORD-10082,CUST-1082,Lagos,Web,VIP
ORD-10083,CUST-1083,Lagos,WhatsApp Commerce,Returning
ORD-10084,CUST-1084,Port Harcourt,Web,Returning
ORD-10085,CUST-1085,Kano,Mobile App,Returning
ORD-10086,CUST-1086,Kano,Web,New Customer
ORD-10087,CUST-1087,Ibadan,Mobile App,Loyal
ORD-10088,CUST-1088,Enugu,Mobile App,VIP
ORD-10089,CUST-1089,Enugu,Web,Loyal
ORD-10090,CUST-1090,Abuja,Mobile App,Returning
ORD-10091,CUST-1091,Lagos,Web,Loyal
ORD-10092,CUST-1092,Port Harcourt,Web,VIP
ORD-10093,CUST-1093,Kano,WhatsApp Commerce,New Customer
ORD-10094,CUST-1094,Lagos,Mobile App,New Customer
ORD-10095,CUST-1095,Abuja,Mobile App,Returning
ORD-10096,CUST-1096,Port Harcourt,WhatsApp Commerce,VIP
ORD-10097,CUST-1097,Abuja,Mobile App,VIP
ORD-10098,CUST-1098,Port Harcourt,Mobile App,New Customer
