order_id,delivery_days,shipping_cost_ngn,warehouse_region
ORD-10000,2,2109.0,Lagos Hub
ORD-10001,1,1744.84,Lagos Hub
ORD-10002,3,2543.16,PH Hub
ORD-10003,3,3277.4,Abuja Hub
ORD-10004,6,1686.42,Abuja Hub
ORD-10005,3,1643.17,PH Hub
ORD-10006,5,2365.36,Lagos Hub
ORD-10007,1,823.47,Lagos Hub
ORD-10008,4,654.25,Lagos Hub
ORD-10009,3,2186.99,PH Hub
ORD-10010,6,900.71,Abuja Hub
ORD-10011,5,879.45,Abuja Hub
ORD-10012,2,1097.72,Lagos Hub
ORD-10013,7,1568.76,Abuja Hub
ORD-10014,2,2750.61,Lagos Hub
ORD-10015,4,1733.47,PH Hub
ORD-10016,3,2327.66,Abuja Hub
ORD-10017,1,3418.41,PH Hub
ORD-10018,8,557.49,Lagos Hub
ORD-10019,5,1824.04,Lagos Hub
ORD-10020,3,1579.85,PH Hub
ORD-10021,3,2280.0,PH Hub
ORD-10022,4,1045.81,Abuja Hub
ORD-10023,3,953.09,PH Hub
ORD-10024,5,2840.14,Abuja Hub
ORD-10025,6,1995.08,Lagos Hub
ORD-10026,3,1617.01,Lagos Hub
ORD-10027,4,1895.04,Lagos Hub
ORD-10028,4,2445.65,PH Hub
ORD-10029,4,3237.52,Abuja Hub
ORD-10030,2,3118.92,Abuja Hub
ORD-10031,3,974.19,Lagos Hub
ORD-10032,3,2529.73,PH Hub
ORD-10033,4,641.66,Abuja Hub
ORD-10034,3,1752.56,PH Hub
ORD-10035,7,3387.45,Lagos Hub
ORD-10036,3,3412.5,Lagos Hub
ORD-10037,7,2650.21,PH Hub
ORD-10038,4,3019.91,Lagos Hub
ORD-10039,7,3042.58,PH Hub
ORD-10040,3,911.25,PH Hub
ORD-10041,6,2912.56,Lagos Hub
ORD-10042,1,2811.89,Lagos Hub
ORD-10043,5,1452.9,Abuja Hub
ORD-10044,3,1627.44,Abuja Hub
ORD-10045,3,3426.21,Lagos Hub
ORD-10046,4,3237.06,Lagos Hub
ORD-10047,4,2136.39,PH Hub
ORD-10048,2,1574.6,Lagos Hub
ORD-10049,1,1793.43,Abuja Hub
ORD-10050,5,945.18,Lagos Hub
ORD-10051,3,2937.7,Lagos Hub
ORD-10052,1,2103.83,Abuja Hub
ORD-10053,5,2826.93,Lagos Hub
ORD-10054,5,2898.4,Lagos Hub
ORD-10055,1,2045.51,Abuja Hub
ORD-10056,4,2415.4,Lagos Hub
ORD-10057,6,1853.42,PH Hub
ORD-10058,3,1495.39,Lagos Hub
ORD-10059,4,1150.65,Lagos Hub
ORD-10060,5,1756.07,Lagos Hub
ORD-10061,5,3388.4,Lagos Hub
ORD-10062,4,804.79,Lagos Hub
ORD-10063,3,3001.35,Lagos Hub
ORD-10064,4,1980.68,PH Hub
ORD-10065,8,3153.27,Lagos Hub
ORD-10066,5,3089.04,Lagos Hub
ORD-10067,4,2766.07,Lagos Hub
ORD-10068,3,3161.05,Abuja Hub
ORD-10069,4,2952.52,Abuja Hub
ORD-10070,8,552.51,Lagos Hub
ORD-10071,2,2141.6,Abuja Hub
ORD-10072,3,534.64,PH Hub
ORD-10073,3,3226.68,Lagos Hub
ORD-10074,3,2918.54,Lagos Hub
ORD-10075,4,1896.66,Abuja Hub
ORD-10076,6,2608.49,Lagos Hub
ORD-10077,6,2544.67,Lagos Hub
ORD-10078,3,1167.79,Lagos Hub
ORD-10079,5,2871.42,Abuja Hub
ORD-10080,5,3164.51,Lagos Hub
ORD-10081,10,1294.04,PH Hub
ORD-10082,4,3427.52,Lagos Hub
ORD-10083,4,3467.33,Abuja Hub
ORD-10084,7,3157.35,Abuja Hub
ORD-10085,4,3384.87,PH Hub
ORD-10086,5,839.04,Abuja Hub
ORD-10087,4,1710.62,Lagos Hub
ORD-10088,7,1549.44,Lagos Hub
ORD-10089,3,3346.65,Lagos Hub
ORD-10090,6,2498.42,Abuja Hub
ORD-10091,4,581.97,Lagos Hub
ORD-10092,3,2321.93,Lagos Hub
ORD-10093,3,2111.12,PH Hub
ORD-10094,4,2574.59,Lagos Hub
ORD-10095,3,676.89,Lagos Hub
ORD-10096,4,1370.23,Abuja Hub
ORD-10097,3,1895.08,PH Hub
ORD-10098,1,1013.34,Abuja Hub
ORD-10099,2,3222.5,PH Hub
ORD-10100,3,2214.27,Lagos Hub
ORD-10101,5,2803.13,Lagos Hub
ORD-10102,6,1186.75,Abuja Hub
ORD-10103,4,1799.06,Lagos Hub
ORD-10104,2,2954.98,PH Hub
ORD-10105,3,2562.03,Lagos Hub
ORD-10106,2,2607.93,Lagos Hub
ORD-10107,3,1539.82,Lagos Hub
ORD-10108,2,1126.79,Lagos Hub
ORD-10109,5,2459.12,Lagos Hub
ORD-10110,5,3268.71,PH Hub
ORD-10111,6,2045.36,Abuja Hub
ORD-10112,1,3131.0,Lagos Hub
ORD-10113,2,2870.41,PH Hub
ORD-10114,3,522.15,Lagos Hub
ORD-10115,5,3194.85,Lagos Hub
ORD-10116,3,2497.97,Abuja Hub
ORD-10117,4,1480.09,Lagos Hub
ORD-10118,2,1633.19,Abuja Hub
ORD-10119,7,2005.06,Abuja Hub
ORD-10120,4,3020.75,Lagos Hub
ORD-10121,5,3060.59,Abuja Hub
ORD-10122,8,2094.52,Lagos Hub
ORD-10123,5,1389.32,Lagos Hub
ORD-10124,3,1417.38,Abuja Hub
ORD-10125,3,1761.87,Lagos Hub
ORD-10126,10,3133.47,Lagos Hub
ORD-10127,1,2324.91,Lagos Hub
ORD-10128,5,669.55,PH Hub
ORD-10129,4,1086.35,Lagos Hub
ORD-10130,5,2656.4,Abuja Hub
ORD-10131,6,3428.61,Lagos Hub
ORD-10132,2,3172.97,Abuja Hub
ORD-10133,2,2143.25,Abuja Hub
ORD-10134,3,868.56,Abuja Hub
ORD-10135,3,2024.74,PH Hub
ORD-10136,5,1233.11,Lagos Hub
ORD-10137,3,671.99,Lagos Hub
ORD-10138,3,2881.71,PH Hub
ORD-10139,3,1377.24,Lagos Hub
ORD-10140,3,942.42,Lagos Hub
ORD-10141,2,1041.42,Abuja Hub
ORD-10142,5,3219.77,Abuja Hub
ORD-10143,6,2180.08,Abuja Hub
ORD-10144,4,839.72,Lagos Hub
ORD-10145,5,2554.21,PH Hub
ORD-10146,2,2335.85,Abuja Hub
ORD-10147,2,2431.98,Abuja Hub
ORD-10148,6,1786.64,Abuja Hub
ORD-10149,3,1883.03,Abuja Hub
ORD-10150,7,1042.86,Abuja Hub
ORD-10151,10,2068.17,Lagos Hub
ORD-10152,6,2012.65,Lagos Hub
ORD-10153,4,2774.86,Lagos Hub
ORD-10154,5,837.93,Lagos Hub
ORD-10155,3,1788.47,Lagos Hub
ORD-10156,3,2715.14,Abuja Hub
ORD-10157,6,2398.23,Lagos Hub
ORD-10158,4,1629.5,Lagos Hub
ORD-10159,4,1646.76,Lagos Hub
ORD-10160,7,511.22,Lagos Hub
ORD-10161,4,1474.14,Abuja Hub
ORD-10162,2,1031.31,PH Hub
ORD-10163,3,867.33,Lagos Hub
ORD-10164,2,1448.61,Lagos Hub
ORD-10165,3,1701.14,PH Hub
ORD-10166,4,2405.47,Lagos Hub
ORD-10167,8,1296.79,Lagos Hub
ORD-10168,2,1176.8,Lagos Hub
ORD-10169,3,3331.22,Lagos Hub
ORD-10170,1,2140.64,Abuja Hub
ORD-10171,2,2543.17,Lagos Hub
ORD-10172,3,3354.93,Abuja Hub
ORD-10173,8,3025.32,Abuja Hub
ORD-10174,2,1256.0,Lagos Hub
ORD-10175,5,2971.38,Lagos Hub
ORD-10176,5,1847.15,Lagos Hub
ORD-10177,6,1181.67,PH Hub
ORD-10178,2,2210.3,Abuja Hub
ORD-10179,3,2007.61,PH Hub
ORD-10180,3,819.29,Lagos Hub
ORD-10181,4,1635.12,Lagos Hub
ORD-10182,4,1946.73,Abuja Hub
ORD-10183,2,1591.96,Lagos Hub
ORD-10184,5,1186.13,Abuja Hub
ORD-10185,6,2888.26,Lagos Hub
ORD-10186,5,2593.66,Abuja Hub
ORD-10187,2,715.27,Abuja Hub
ORD-10188,2,3337.2,PH Hub
ORD-10189,4,2245.73,Lagos Hub
ORD-10190,4,2190.28,Abuja Hub
ORD-10191,3,2448.32,Abuja Hub
ORD-10192,2,1741.42,Lagos Hub
ORD-10193,5,2873.68,Abuja Hub
ORD-10194,3,3273.83,Lagos Hub
ORD-10195,4,825.19,Abuja Hub
ORD-10196,4,1566.13,Lagos Hub
ORD-10197,2,1557.11,PH Hub
ORD-10198,4,2277.12,Lagos Hub
ORD-10199,5,2949.53,Abuja Hub
ORD-10200,4,2353.29,PH Hub
ORD-10201,4,836.93,PH Hub
ORD-10202,2,1167.64,PH Hub
ORD-10203,7,1535.43,Abuja Hub
ORD-10204,3,2560.53,Abuja Hub
ORD-10205,1,3381.95,Abuja Hub
ORD-10206,5,2944.72,Lagos Hub
ORD-10207,6,2744.16,Lagos Hub
ORD-10208,3,2496.26,Abuja Hub
ORD-10209,2,529.88,Lagos Hub
ORD-10210,5,2814.27,Lagos Hub
ORD-10211,2,1302.64,Abuja Hub
ORD-10212,4,542.66,Lagos Hub
ORD-10213,1,909.41,Lagos Hub
ORD-10214,10,2702.88,Lagos Hub
ORD-10215,4,833.64,Abuja Hub
ORD-10216,3,2246.95,PH Hub
ORD-10217,5,1236.13,Lagos Hub
ORD-10218,3,1549.21,PH Hub
ORD-10219,4,2565.91,Lagos Hub
ORD-10220,3,2861.41,Abuja Hub
ORD-10221,14,1647.63,PH Hub
ORD-10222,3,1075.03,PH Hub
ORD-10223,3,1501.78,Lagos Hub
ORD-10224,3,3380.41,Abuja Hub
ORD-10225,2,3292.94,PH Hub
ORD-10226,4,1213.03,Abuja Hub
ORD-10227,3,3492.32,Abuja Hub
ORD-10228,2,879.19,Abuja Hub
ORD-10229,5,1433.3,Lagos Hub
ORD-10230,4,1181.73,Lagos Hub
ORD-10231,6,3122.4,Abuja Hub
ORD-10232,7,1142.66,Abuja Hub
ORD-10233,14,1814.6,Lagos Hub
ORD-10234,4,2193.62,PH Hub
ORD-10235,4,1862.51,Lagos Hub
