order_id,order_date,category,quantity,unit_price_ngn,discount_pct,gmv_ngn,order_status
ORD-10000,2023-06-25,Fashion,1,11949.14,5,11351.68,Completed
ORD-10001,2023-07-16,Fashion,1,11985.7,15,10187.84,Returned
ORD-10002,2023-01-26,Fashion,2,10013.62,0,20027.24,Cancelled
ORD-10003,2023-03-09,Phones & Tablets,1,159858.78,5,151865.84,Completed
ORD-10004,2023-07-31,Automotive,2,72371.24,0,144742.49,Completed
ORD-10005,2023-04-14,Sports & Fitness,3,21621.54,5,61621.38,Completed
ORD-10006,2023-12-15,Phones & Tablets,3,138797.32,0,416391.95,Completed
ORD-10007,2023-07-05,Fashion,2,10376.6,0,20753.19,Completed
ORD-10008,2023-01-24,Fashion,3,14345.84,10,38733.78,Completed
ORD-10009,2023-03-14,Fashion,2,8643.7,0,17287.4,Completed
ORD-10010,2023-12-12,Baby & Kids,3,6778.6,0,20335.8,Completed
ORD-10011,2023-02-12,Electronics,2,101376.97,10,182478.55,Completed
ORD-10012,2023-08-07,Phones & Tablets,2,155036.01,10,279064.83,Completed
ORD-10013,2023-06-17,Electronics,2,64606.82,20,103370.91,Completed
ORD-10014,2023-03-10,Baby & Kids,3,12511.96,5,35659.08,Completed
ORD-10015,2023-01-01,Baby & Kids,1,9808.64,20,7846.91,Completed
ORD-10016,2023-03-17,Phones & Tablets,2,151995.87,20,243193.4,Completed
ORD-10017,2023-11-08,Sports & Fitness,2,19932.73,0,39865.45,Completed
ORD-10018,2023-09-08,Office Supplies,3,7754.37,15,19773.63,Completed
ORD-10019,2023-01-07,Groceries,2,5408.79,15,9194.95,Completed
ORD-10020,2023-10-03,Groceries,1,4751.52,10,4276.36,Completed
ORD-10021,2023-02-14,Home & Living,2,27030.42,5,51357.8,Cancelled
ORD-10022,2023-07-11,Home & Living,1,29282.82,15,24890.39,Completed
ORD-10023,2023-11-22,Beauty & Health,3,9211.69,20,22108.07,Completed
ORD-10024,2023-11-09,Baby & Kids,1,7313.27,0,7313.27,Returned
ORD-10025,2023-06-02,Phones & Tablets,1,138278.52,0,138278.52,Completed
ORD-10026,2023-07-03,Home & Living,2,24765.05,0,49530.1,Completed
ORD-10027,2023-04-23,Electronics,1,63469.83,10,57122.85,Completed
ORD-10028,2023-09-09,Electronics,2,115125.48,20,184200.76,Completed
ORD-10029,2023-07-09,Phones & Tablets,1,85077.58,15,72315.95,Completed
ORD-10030,2023-10-18,Fashion,1,11623.06,5,11041.91,Returned
ORD-10031,2023-11-09,Electronics,1,88725.1,0,88725.1,Completed
ORD-10032,2023-07-21,Home & Living,2,19281.26,20,30850.01,Completed
ORD-10033,2023-02-08,Electronics,3,111802.18,10,301865.88,Completed
ORD-10034,2023-09-18,Fashion,1,14670.25,20,11736.2,Completed
ORD-10035,2023-05-18,Phones & Tablets,2,133402.38,15,226784.05,Completed
ORD-10036,2023-12-10,Electronics,3,106788.67,0,320366.01,Completed
ORD-10037,2023-07-15,Home & Living,2,18335.35,10,33003.63,Completed
ORD-10038,2023-03-14,Fashion,1,16342.81,10,14708.53,Cancelled
ORD-10039,2023-12-06,Sports & Fitness,2,17658.16,0,35316.31,Completed
ORD-10040,2023-09-15,Phones & Tablets,3,135510.52,10,365878.41,Completed
ORD-10041,2023-07-12,Home & Living,3,17514.93,0,52544.8,Completed
ORD-10042,2023-12-16,Home & Living,3,19143.54,5,54559.09,Completed
ORD-10043,2023-04-03,Sports & Fitness,3,19646.96,0,58940.89,Completed
ORD-10044,2023-09-10,Baby & Kids,2,9299.66,15,15809.42,Completed
ORD-10045,2023-03-13,Automotive,1,55012.27,0,55012.27,Completed
ORD-10046,2023-10-07,Home & Living,2,26743.82,0,53487.63,Completed
ORD-10047,2023-01-11,Electronics,1,103326.94,20,82661.55,Completed
ORD-10048,2023-08-22,Groceries,2,5388.38,5,10237.92,Cancelled
ORD-10049,2023-10-19,Home & Living,1,16290.75,0,16290.75,Completed
ORD-10050,2023-11-14,Electronics,1,78133.2,5,74226.54,Completed
ORD-10051,2023-06-01,Baby & Kids,1,9175.27,15,7798.98,Completed
ORD-10052,2023-04-03,Gaming,1,61334.64,10,55201.18,Cancelled
ORD-10053,2023-09-05,Sports & Fitness,1,15255.93,10,13730.34,Completed
ORD-10054,2023-08-13,Groceries,3,3949.85,0,11849.55,Completed
ORD-10055,2023-05-30,Automotive,1,74399.82,10,66959.84,Returned
ORD-10056,2023-12-23,Automotive,1,65823.82,0,65823.82,Completed
ORD-10057,2023-03-09,Fashion,1,8983.22,0,8983.22,Cancelled
ORD-10058,2023-08-08,Books & Stationery,1,3701.87,0,3701.87,Cancelled
ORD-10059,2023-01-20,Electronics,1,110761.4,0,110761.4,Returned
ORD-10060,2023-01-05,Home & Living,2,21708.27,15,36904.06,Completed
ORD-10061,2023-10-03,Automotive,3,53744.83,10,145111.04,Cancelled
ORD-10062,2023-02-03,Electronics,2,98266.93,20,157227.09,Completed
ORD-10063,2023-05-04,Home & Living,1,22879.77,5,21735.78,Completed
ORD-10064,2023-10-14,Home & Living,2,19588.05,15,33299.69,Completed
ORD-10065,2023-07-05,Groceries,2,5779.12,0,11558.25,Completed
ORD-10066,2023-08-18,Electronics,1,91356.02,10,82220.42,Cancelled
ORD-10067,2023-11-26,Automotive,1,72593.5,15,61704.47,Completed
ORD-10068,2023-05-11,Home & Living,2,17109.9,0,34219.8,Completed
ORD-10069,2023-03-25,Sports & Fitness,1,20770.39,0,20770.39,Completed
ORD-10070,2023-01-22,Home & Living,2,22987.53,0,45975.06,Cancelled
ORD-10071,2023-04-30,Automotive,1,62740.5,0,62740.5,Completed
ORD-10072,2023-03-09,Beauty & Health,1,10390.57,10,9351.51,Completed
ORD-10073,2023-07-23,Electronics,2,71032.74,10,127858.93,Completed
ORD-10074,2023-02-17,Sports & Fitness,3,14232.81,20,34158.75,Cancelled
ORD-10075,2023-09-30,Automotive,3,48089.57,0,144268.7,Completed
ORD-10076,2023-01-13,Groceries,1,4899.39,0,4899.39,Completed
ORD-10077,2023-12-16,Home & Living,2,19575.71,20,31321.13,Cancelled
ORD-10078,2023-04-18,Home & Living,1,21863.53,20,17490.82,Completed
ORD-10079,2023-08-22,Fashion,2,15415.45,0,30830.91,Cancelled
ORD-10080,2023-11-29,Fashion,1,10418.12,20,8334.5,Completed
ORD-10081,2023-11-20,Home & Living,1,24063.55,5,22860.37,Completed
ORD-10082,2023-04-21,Baby & Kids,1,8851.03,10,7965.92,Returned
ORD-10083,2023-05-23,Groceries,1,4059.69,10,3653.72,Completed
ORD-10084,2023-05-05,Groceries,1,3104.1,0,3104.1,Completed
ORD-10085,2023-10-04,Electronics,2,68722.32,10,123700.17,Completed
ORD-10086,2023-11-06,Electronics,3,103122.45,20,247493.89,Returned
ORD-10087,2023-11-12,Baby & Kids,2,10990.77,20,17585.23,Completed
ORD-10088,2023-02-05,Home & Living,1,18403.05,0,18403.05,Completed
ORD-10089,2023-11-01,Phones & Tablets,1,118034.25,0,118034.25,Cancelled
ORD-10090,2023-09-18,Electronics,2,79744.55,5,151514.65,Completed
ORD-10091,2023-10-27,Home & Living,2,26094.75,0,52189.5,Returned
ORD-10092,2023-09-08,Sports & Fitness,3,13614.75,5,38802.03,Completed
ORD-10093,2023-02-24,Home & Living,2,29333.23,0,58666.45,Completed
ORD-10094,2023-02-13,Groceries,2,5802.41,20,9283.86,Completed
ORD-10095,2023-08-04,Groceries,2,2978.26,0,5956.52,Cancelled
ORD-10096,2023-02-09,Home & Living,2,24956.67,20,39930.67,Completed
ORD-10097,2023-05-12,Office Supplies,1,9491.96,0,9491.96,Completed
ORD-10098,2023-12-02,Fashion,1,16070.4,15,13659.84,Completed
ORD-10099,2023-10-13,Phones & Tablets,3,95278.3,0,285834.89,Completed
ORD-10100,2023-05-17,Automotive,3,45769.51,20,109846.82,Returned
ORD-10101,2023-02-24,Beauty & Health,2,7990.72,0,15981.43,Returned
ORD-10102,2023-06-16,Phones & Tablets,1,141218.42,20,112974.73,Completed
ORD-10103,2023-07-18,Home & Living,1,26775.15,15,22758.88,Completed
ORD-10104,2023-05-30,Automotive,1,46250.11,10,41625.1,Cancelled
ORD-10105,2023-02-14,Sports & Fitness,1,15218.35,5,14457.43,Completed
ORD-10106,2023-05-16,Fashion,2,16195.88,15,27532.99,Completed
ORD-10107,2023-07-29,Groceries,2,3767.21,0,7534.43,Completed
ORD-10108,2023-07-17,Electronics,1,93947.63,5,89250.25,Completed
ORD-10109,2023-04-11,Sports & Fitness,2,16620.7,20,26593.13,Completed
ORD-10110,2023-06-30,Baby & Kids,2,8016.76,0,16033.53,Completed
ORD-10111,2023-06-19,Baby & Kids,3,6911.96,15,17625.49,Completed
ORD-10112,2023-01-30,Sports & Fitness,2,16957.85,20,27132.57,Completed
ORD-10113,2023-10-10,Electronics,2,105775.8,5,200974.02,Completed
ORD-10114,2023-11-17,Beauty & Health,2,9889.54,20,15823.26,Completed
ORD-10115,2023-09-10,Automotive,1,85335.5,0,85335.5,Completed
ORD-10116,2023-07-10,Home & Living,2,26099.41,20,41759.05,Completed
ORD-10117,2023-08-03,Fashion,3,15287.15,20,36689.15,Completed
ORD-10118,2023-08-15,Electronics,2,99413.18,0,198826.36,Completed
ORD-10119,2023-01-13,Electronics,1,83336.93,10,75003.23,Completed
ORD-10120,2023-05-15,Sports & Fitness,1,16045.8,0,16045.8,Completed
ORD-10121,2023-04-17,Baby & Kids,1,9415.51,5,8944.73,Completed
ORD-10122,2023-04-21,Beauty & Health,2,10152.83,0,20305.66,Cancelled
ORD-10123,2023-12-16,Fashion,1,15451.47,0,15451.47,Cancelled
ORD-10124,2023-08-23,Baby & Kids,1,11371.33,0,11371.33,Completed
ORD-10125,2023-01-18,Home & Living,2,28844.62,0,57689.24,Completed
ORD-10126,2023-01-06,Beauty & Health,2,9342.88,5,17751.47,Completed
ORD-10127,2023-12-02,Office Supplies,2,8337.68,20,13340.28,Completed
ORD-10128,2023-02-19,Phones & Tablets,1,146916.11,15,124878.69,Completed
ORD-10129,2023-11-29,Office Supplies,2,6933.57,15,11787.07,Completed
ORD-10130,2023-04-16,Fashion,2,15418.11,0,30836.23,Completed
ORD-10131,2023-07-02,Fashion,3,9537.86,15,24321.53,Completed
ORD-10132,2023-06-25,Fashion,2,10590.65,5,20122.23,Completed
ORD-10133,2023-03-29,Electronics,2,86331.52,20,138130.44,Completed
ORD-10134,2023-05-30,Electronics,1,113063.24,15,96103.76,Cancelled
ORD-10135,2023-09-18,Books & Stationery,2,4035.79,0,8071.57,Completed
ORD-10136,2023-03-18,Electronics,3,61581.03,20,147794.47,Completed
ORD-10137,2023-08-22,Electronics,1,91145.2,0,91145.2,Returned
ORD-10138,2023-11-28,Sports & Fitness,1,20547.35,0,20547.35,Completed
ORD-10139,2023-09-20,Groceries,2,4138.59,20,6621.74,Cancelled
ORD-10140,2023-08-14,Office Supplies,1,7923.91,20,6339.13,Completed
ORD-10141,2023-03-27,Office Supplies,3,7094.03,15,18089.78,Completed
ORD-10142,2023-06-08,Books & Stationery,1,3324.56,0,3324.56,Completed
ORD-10143,2023-12-30,Groceries,2,3680.88,5,6993.67,Completed
ORD-10144,2023-11-09,Fashion,1,11585.25,10,10426.73,Completed
ORD-10145,2023-11-04,Electronics,2,117384.31,0,234768.62,Completed
ORD-10146,2023-09-05,Sports & Fitness,1,21594.93,0,21594.93,Completed
ORD-10147,2023-07-03,Beauty & Health,2,9413.95,0,18827.89,Returned
ORD-10148,2023-05-02,Books & Stationery,2,4540.62,10,8173.12,Completed
ORD-10149,2023-03-18,Electronics,1,109558.38,20,87646.7,Returned
ORD-10150,2023-07-19,Home & Living,2,19670.42,15,33439.71,Completed
ORD-10151,2023-03-27,Sports & Fitness,1,20595.5,0,20595.5,Completed
ORD-10152,2023-07-06,Groceries,2,4459.37,0,8918.75,Completed
ORD-10153,2023-10-25,Groceries,2,4816.35,20,7706.15,Completed
ORD-10154,2023-08-19,Sports & Fitness,2,18975.95,20,30361.52,Cancelled
ORD-10155,2023-10-27,Baby & Kids,1,9539.11,0,9539.11,Returned
ORD-10156,2023-11-12,Electronics,1,101819.11,15,86546.24,Returned
ORD-10157,2023-12-05,Fashion,2,11631.84,0,23263.68,Completed
ORD-10158,2023-03-05,Home & Living,1,27662.84,0,27662.84,Completed
ORD-10159,2023-02-05,Electronics,1,85788.29,0,85788.29,Completed
ORD-10160,2023-03-19,Automotive,2,55999.07,5,106398.24,Completed
ORD-10161,2023-10-16,Beauty & Health,2,8205.73,20,13129.17,Completed
ORD-10162,2023-04-28,Beauty & Health,1,9570.66,10,8613.6,Completed
ORD-10163,2023-08-04,Fashion,2,16274.62,0,32549.23,Completed
ORD-10164,2023-06-11,Electronics,1,88805.34,20,71044.27,Completed
ORD-10165,2023-02-15,Groceries,1,4506.85,0,4506.85,Completed
ORD-10166,2023-04-27,Sports & Fitness,2,13792.44,0,27584.88,Completed
ORD-10167,2023-02-15,Office Supplies,3,6287.91,15,16034.17,Completed
ORD-10168,2023-12-28,Electronics,1,105550.06,0,105550.06,Returned
ORD-10169,2023-02-12,Electronics,1,82833.93,15,70408.84,Completed
ORD-10170,2023-12-19,Phones & Tablets,1,90158.2,15,76634.47,Completed
ORD-10171,2023-10-18,Phones & Tablets,1,147417.99,0,147417.99,Completed
ORD-10172,2023-04-06,Baby & Kids,1,8767.82,0,8767.82,Completed
ORD-10173,2023-07-03,Sports & Fitness,2,13520.64,0,27041.27,Completed
ORD-10174,2023-08-19,Beauty & Health,1,7525.72,0,7525.72,Completed
ORD-10175,2023-09-23,Fashion,1,9216.03,10,8294.43,Completed
ORD-10176,2023-09-27,Fashion,2,10260.0,10,18468.0,Completed
ORD-10177,2023-12-08,Automotive,2,54827.11,0,109654.21,Completed
ORD-10178,2023-01-02,Groceries,1,4749.56,0,4749.56,Completed
ORD-10179,2023-10-15,Fashion,2,12572.99,0,25145.99,Completed
ORD-10180,2023-07-28,Home & Living,1,23850.01,15,20272.51,Cancelled
ORD-10181,2023-02-18,Beauty & Health,3,7098.15,0,21294.44,Completed
ORD-10182,2023-06-03,Phones & Tablets,1,111562.1,0,111562.1,Completed
ORD-10183,2023-06-11,Books & Stationery,3,4397.06,0,13191.19,Completed
ORD-10184,2023-09-13,Electronics,3,109683.56,0,329050.68,Completed
ORD-10185,2023-12-05,Phones & Tablets,1,166905.48,15,141869.66,Completed
ORD-10186,2023-03-06,Home & Living,3,18151.38,10,49008.73,Completed
ORD-10187,2023-11-11,Sports & Fitness,1,25115.9,0,25115.9,Completed
ORD-10188,2023-09-24,Automotive,1,47060.9,20,37648.72,Returned
ORD-10189,2023-01-28,Home & Living,2,22762.96,10,40973.33,Completed
ORD-10190,2023-06-06,Phones & Tablets,1,164325.6,0,164325.6,Completed
ORD-10191,2023-01-09,Electronics,1,79978.92,10,71981.03,Completed
ORD-10192,2023-09-05,Groceries,1,5206.45,0,5206.45,Cancelled
ORD-10193,2023-04-11,Fashion,3,8492.64,15,21656.22,Cancelled
ORD-10194,2023-09-12,Home & Living,1,19202.78,0,19202.78,Returned
ORD-10195,2023-11-07,Electronics,2,66950.47,0,133900.93,Completed
ORD-10196,2023-10-26,Fashion,1,11503.53,20,9202.82,Completed
ORD-10197,2023-12-15,Baby & Kids,1,7293.35,20,5834.68,Completed
ORD-10198,2023-01-08,Electronics,3,89483.8,0,268451.4,Completed
ORD-10199,2023-08-30,Electronics,1,82165.01,15,69840.26,Completed
ORD-10200,2023-05-24,Books & Stationery,1,3572.89,20,2858.31,Returned
ORD-10201,2023-05-09,Automotive,2,54380.08,0,108760.17,Cancelled
ORD-10202,2023-07-30,Fashion,1,13536.11,10,12182.5,Completed
ORD-10203,2023-08-20,Electronics,1,68569.74,0,68569.74,Completed
ORD-10204,2023-06-26,Home & Living,3,23483.91,20,56361.37,Completed
ORD-10205,2023-02-14,Baby & Kids,1,10392.74,0,10392.74,Completed
ORD-10206,2023-01-10,Groceries,2,2976.47,0,5952.94,Completed
ORD-10207,2023-10-30,Home & Living,1,19220.36,15,16337.31,Completed
ORD-10208,2023-06-26,Beauty & Health,3,6845.98,20,16430.35,Completed
ORD-10209,2023-05-08,Fashion,3,9195.45,0,27586.34,Completed
ORD-10210,2023-01-06,Groceries,1,4102.61,0,4102.61,Cancelled
ORD-10211,2023-05-25,Office Supplies,2,8699.64,0,17399.28,Completed
ORD-10212,2023-01-12,Beauty & Health,1,8463.02,5,8039.87,Completed
ORD-10213,2023-12-29,Home & Living,1,20121.43,0,20121.43,Returned
ORD-10214,2023-06-10,Fashion,3,15175.76,0,45527.27,Completed
ORD-10215,2023-10-24,Phones & Tablets,1,152482.41,0,152482.41,Completed
ORD-10216,2023-02-06,Groceries,3,4568.96,15,11650.84,Completed
ORD-10217,2023-03-11,Electronics,1,100263.11,10,90236.8,Completed
ORD-10218,2023-12-30,Books & Stationery,1,3031.05,10,2727.94,Completed
ORD-10219,2023-04-04,Gaming,3,61056.32,0,183168.95,Completed
ORD-10220,2023-02-19,Fashion,3,13873.72,0,41621.16,Completed
ORD-10221,2023-11-14,Groceries,1,5020.53,15,4267.45,Cancelled
ORD-10222,2023-08-12,Beauty & Health,2,11490.21,5,21831.39,Completed
ORD-10223,2023-05-16,Groceries,3,4344.71,0,13034.12,Cancelled
ORD-10224,2023-04-03,Home & Living,2,23976.77,0,47953.55,Completed
ORD-10225,2023-11-11,Beauty & Health,2,7258.37,0,14516.73,Cancelled
ORD-10226,2023-06-28,Books & Stationery,1,3897.08,5,3702.23,Returned
ORD-10227,2023-06-26,Home & Living,3,17460.49,0,52381.47,Completed
ORD-10228,2023-12-01,Electronics,1,71346.8,5,67779.46,Completed
ORD-10229,2023-02-17,Beauty & Health,1,6412.59,0,6412.59,Completed
ORD-10230,2023-05-07,Groceries,2,3069.06,20,4910.5,Completed
ORD-10231,2023-07-31,Beauty & Health,1,8741.04,5,8303.99,Completed
ORD-10232,2023-04-16,Fashion,3,15005.13,20,36012.31,Completed
ORD-10233,2023-03-19,Electronics,1,103578.28,0,103578.28,Completed
ORD-10234,2023-01-25,Electronics,1,84679.26,0,84679.26,Completed
ORD-10235,2023-03-09,Groceries,1,4961.22,0,4961.22,Completed
ORD-10236,2023-02-19,Fashion,1,16375.2,0,16375.2,Completed
ORD-10237,2023-02-03,Beauty & Health,2,11881.19,10,21386.15,Completed
ORD-10238,2023-11-28,Electronics,1,100294.71,0,100294.71,Completed
